Product Name,SKU,Category,Stock Quantity,Cost Price,Selling Price,Daily Sales
Coca-Cola 330ml Can,BEV-001,Beverage,84,0.42,0.60,42
Vital Drinking Water 500ml,WTR-001,Water,430,0.14,0.25,60
MAMA Instant Noodles Pork,NDL-001,Instant Noodles,470,0.19,0.30,38
Nescafe 3-in-1 Sachet,COF-001,Coffee & Tea,940,0.14,0.22,55
Lay's Classic 40g,SNK-001,Snacks,320,0.50,0.75,24
Dutch Lady UHT Milk 1L,DRY-001,Dairy,52,1.20,1.60,15
Cooking Oil 1L Pouch,COK-001,Cooking,340,1.95,2.40,9
Jasmine Rice 5kg,RCE-001,Staples,320,5.20,6.50,9
Colgate Toothpaste 150g,PC-001,Personal Care,260,1.25,1.80,6
Pampers Diapers M 4s,BAB-001,Baby Care,42,2.10,2.80,5
