sku,name,stock,unitCost,sellingPrice,dailySales,leadTimeDays
EL-001,USB-C Fast Charging Cable 1m,10,1.2,3.0,8,10
EL-002,20000mAh Power Bank,6,9.5,16.0,4,15
EL-003,Wireless Bluetooth Earbuds,8,7.0,14.0,5,20
EL-004,iPhone 13/14 Tempered Glass Screen Protector,15,0.5,1.5,10,7
EL-005,18W Fast Wall Charger Adapter,9,2.2,5.0,6,12
EL-006,"Wired Earphones (Basic, 3.5mm)",120,0.8,2.0,0.8,10
EL-007,Micro-USB Cable 1m (Old Standard),100,0.7,1.8,0.6,10
EL-008,"Generic Phone Case (Assorted, Old Models)",90,1.0,2.5,0.7,15
EL-009,Car Phone Holder (Suction Cup),60,1.8,4.0,0.5,15
EL-010,Selfie Stick with Tripod,55,2.5,5.5,0.4,15
EL-011,VGA to HDMI Adapter,30,4.0,8.0,0.05,25
EL-012,CD/DVD Blank Discs (Spindle of 50),25,3.5,6.5,0.03,30
EL-013,Fax Machine Ink Ribbon (Legacy),20,5.0,9.0,0.02,35
EL-014,Wireless Mouse (2.4GHz),35,3.0,6.5,1.8,12
EL-015,Wired USB Mouse,30,1.8,4.0,1.5,10
EL-016,Bluetooth Keyboard (Compact),22,6.5,12.0,0.8,15
EL-017,Laptop Cooling Pad,18,4.5,8.5,0.6,15
EL-018,Laptop Sleeve Case 14-inch,24,3.0,6.0,0.9,12
EL-019,HDMI Cable 1.5m,28,1.5,3.5,1.2,10
EL-020,32GB USB Flash Drive,40,2.5,5.0,2,10
EL-021,64GB microSD Card,32,4.0,7.5,1.8,12
EL-022,Portable Bluetooth Speaker (Small),26,6.0,12.0,1.3,15
EL-023,Phone Ring Holder / Kickstand,50,0.4,1.0,2.5,10
EL-024,Car Charger Dual USB,34,1.5,3.2,1.6,10
EL-025,Type-C to Lightning Cable,28,2.2,5.0,1.8,12
EL-026,Samsung Galaxy A-Series Screen Protector,30,0.45,1.3,3,7
EL-027,Anti-Shock Phone Case (Popular Models),38,1.3,3.2,2.6,10
EL-028,Clear Silicone Phone Case,42,0.7,1.8,2.8,8
EL-029,Earphone Splitter (3.5mm),30,0.8,1.8,1.2,10
EL-030,Bluetooth Headset (Single Ear),20,4.5,9.0,0.9,15
EL-031,Smartwatch Charging Cable (Generic),25,1.8,4.0,1.1,12
EL-032,"LED Ring Light (Small, Phone Mount)",16,5.5,11.0,0.5,18
EL-033,Tripod Stand (Phone/Camera),18,4.0,8.5,0.5,15
EL-034,Wireless Charging Pad,22,3.5,7.5,1.1,12
EL-035,OTG USB Adapter,28,0.6,1.6,1.4,10
EL-036,Laptop Charger (Universal 65W),14,8.0,15.0,0.5,15
EL-037,Screen Cleaning Kit,30,0.9,2.0,1.2,10
EL-038,Phone Camera Lens Clip-On Kit,20,3.0,6.5,0.6,15
EL-039,Extension Power Strip (4 outlets),24,3.2,6.0,0.9,12
EL-040,Rechargeable AA Batteries (4-pack),32,2.0,4.0,1.3,10
EL-041,Portable Fan (USB Powered),26,2.5,5.5,1.1,12
EL-042,Gaming Headset (Basic),16,7.5,14.0,0.6,18
EL-043,Webcam (720p Basic),12,6.0,12.0,0.4,18
EL-044,Phone Repair Tool Kit,18,2.8,6.0,0.5,15
EL-045,Earbuds Silicone Ear Tips (Replacement),40,0.3,0.9,1.6,10
EL-046,Cable Organizer Clips (set),36,0.35,0.9,1.4,8
EL-047,Portable SSD 256GB,10,22.0,35.0,0.3,20
